name,year,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
quarterly.add.platt,2023,242,131,0.5413223140495868,0.5281961350663641,0.5313252183481191,0.25154530810388953,0.6973977523385856,0.45867768595041325,0.33884297520661155,0.46411417417735756,0.1021311220612682,0.24724947467668554,0.7802278829016913
quarterly.add.platt,2024,242,119,0.49173553719008267,0.49091530054644805,0.4985655737704918,0.25929094546270604,0.7130070912226053,0.49586776859504134,0.40082644628099173,0.49845865389609434,0.09055773351679205,0.2764698053044828,0.734069800248783
quarterly.add.platt,2025,243,127,0.522633744855967,0.49073049252905365,0.5214443829551744,0.251873260026677,0.69719223597804,0.5720164609053497,0.720164609053498,0.5232119071710595,0.08269554650986013,0.1934253575500653,0.6886361634009454
quarterly.add.platt,2026,166,110,0.6626506024096386,0.6548659673659674,0.6019813519813519,0.2535172747554768,0.7091514241593506,0.5301204819277109,0.6385542168674698,0.5483796895423956,0.12606374299761441,0.32453084844472385,0.8113856931825051
quarterly.add.shrink,2023,242,131,0.5413223140495868,0.5281961350663641,0.5313252183481191,0.25154530810388953,0.6973977523385856,0.45867768595041325,0.33884297520661155,0.46411417417735756,0.1021311220612682,0.24724947467668554,0.7802278829016913
quarterly.add.shrink,2024,242,123,0.5082644628099173,0.506967213114754,0.49528688524590164,0.2570479970519918,0.7084065310319553,0.49586776859504134,0.34297520661157027,0.49583977599885587,0.08187751136648103,0.2764698053044828,0.734069800248783
quarterly.add.shrink,2025,243,124,0.5102880658436214,0.4763074156059768,0.4712230215827338,0.25773856577493875,0.7091628816771561,0.5720164609053497,0.7325102880658436,0.5039236096232557,0.0704751143956182,0.1934253575500653,0.6886361634009454
quarterly.add.shrink,2026,166,110,0.6626506024096386,0.6548659673659674,0.6019813519813519,0.2535172747554768,0.7091514241593506,0.5301204819277109,0.6385542168674698,0.5483796895423956,0.12606374299761441,0.32453084844472385,0.8113856931825051
quarterly.vol.raw,2023,242,137,0.5661157024793388,0.5531600302592669,0.5354514820163675,0.2508449998355805,0.6959245061813607,0.45867768595041325,0.33884297520661155,0.4664454098347921,0.09229996261585302,0.26072201899731834,0.7722388301836302
quarterly.vol.raw,2024,242,121,0.5,0.5002732240437159,0.49911202185792347,0.26360309417654365,0.7224677991117526,0.49586776859504134,0.5330578512396694,0.5178297653003607,0.1100490193840633,0.2517374433420428,0.7421182206081287
quarterly.vol.raw,2025,243,93,0.38271604938271603,0.40716657443276144,0.40446873270614275,0.2816933234173242,0.7588296760327468,0.5720164609053497,0.3168724279835391,0.45796564541279966,0.09493077854207672,0.18392575976646178,0.7060310501542629
quarterly.vol.raw,2026,166,111,0.6686746987951807,0.6590909090909092,0.6091200466200466,0.25174203921820415,0.7049648402667865,0.5301204819277109,0.6686746987951807,0.5525488547121582,0.1196691710279108,0.32356088880230266,0.806652315904993
quarterly.vol.platt,2023,242,137,0.5661157024793388,0.5531600302592669,0.5354514820163675,0.2508449998355805,0.6959245061813607,0.45867768595041325,0.33884297520661155,0.4664454098347921,0.09229996261585302,0.26072201899731834,0.7722388301836302
quarterly.vol.platt,2024,242,117,0.4834710743801653,0.48258196721311475,0.4930327868852459,0.25848202857166763,0.7112361924336974,0.49586776859504134,0.3925619834710744,0.4966237847782976,0.08947445507398415,0.28133055667766105,0.7325385668783841
quarterly.vol.platt,2025,243,125,0.51440329218107,0.478693967902601,0.505879911455451,0.2538094363822909,0.7013090202571837,0.5720164609053497,0.7448559670781894,0.5217613660271535,0.08373129622483577,0.18392575976646178,0.7060310501542629
quarterly.vol.platt,2026,166,111,0.6686746987951807,0.6590909090909092,0.6091200466200466,0.25174203921820415,0.7049648402667865,0.5301204819277109,0.6686746987951807,0.5525488547121582,0.1196691710279108,0.32356088880230266,0.806652315904993
quarterly.vol.shrink,2023,242,137,0.5661157024793388,0.5531600302592669,0.5354514820163675,0.2508449998355805,0.6959245061813607,0.45867768595041325,0.33884297520661155,0.4664454098347921,0.09229996261585302,0.26072201899731834,0.7722388301836302
quarterly.vol.shrink,2024,242,122,0.5041322314049587,0.5027322404371585,0.4878415300546448,0.2568685316187034,0.7079500066078197,0.49586776859504134,0.3305785123966942,0.494790812518194,0.08372267588328422,0.28133055667766105,0.7325385668783841
quarterly.vol.shrink,2025,243,123,0.5061728395061729,0.46786801328168237,0.45807969009407856,0.258682005006849,0.7112077065464435,0.5720164609053497,0.7613168724279835,0.5067026455265011,0.07591098592298011,0.18392575976646178,0.7060310501542629
quarterly.vol.shrink,2026,166,111,0.6686746987951807,0.6590909090909092,0.6091200466200466,0.25174203921820415,0.7049648402667865,0.5301204819277109,0.6686746987951807,0.5525488547121582,0.1196691710279108,0.32356088880230266,0.806652315904993
quarterly.cal_frequency.raw,2023,242,107,0.44214876033057854,0.4207757375696307,0.3944020356234097,0.25057312468357634,0.6942934570797415,0.45867768595041325,0.24793388429752067,0.49870748964745365,0.0033722791587033865,0.4951560818083961,0.5041152263374485
quarterly.cal_frequency.raw,2024,242,122,0.5041322314049587,0.5,0.5264344262295082,0.24908912164382244,0.69131779231609,0.49586776859504134,0.0,0.4817827778658285,0.014337187865398223,0.4603174603174603,0.498046875
quarterly.cal_frequency.raw,2025,243,130,0.5349794238683128,0.5329966795794134,0.5313364692861096,0.2490867783996107,0.6913183333087446,0.5720164609053497,0.5185185185185185,0.5004203385405631,0.025689732809304644,0.46825396825396826,0.5357142857142857
quarterly.cal_frequency.raw,2026,166,88,0.5301204819277109,0.5203962703962703,0.40603146853146854,0.25086129593353157,0.6949342390896214,0.5301204819277109,0.6626506024096386,0.5399804528406758,0.029806193022709024,0.4987572493786247,0.5674603174603174
quarterly.order_joint.raw,2023,242,128,0.5289256198347108,0.5139949109414759,0.4981087958187195,0.25611474327741085,0.7065181016991144,0.45867768595041325,0.3181818181818182,0.4639442615974757,0.08672544582942077,0.2624216063924435,0.7586560046431511
quarterly.order_joint.raw,2024,242,114,0.47107438016528924,0.4712431693989071,0.5045081967213115,0.2625368393393626,0.7200707467464463,0.49586776859504134,0.5206611570247934,0.5091697402176842,0.11060410994583177,0.24327756385452215,0.7411333977611917
quarterly.order_joint.raw,2025,243,97,0.3991769547325103,0.42155506364139456,0.4161593801881572,0.2784844472099079,0.7521584338051742,0.5720164609053497,0.3333333333333333,0.4557141594148105,0.09260013653152482,0.17550180588173006,0.7061554641956646
quarterly.order_joint.raw,2026,166,113,0.6807228915662651,0.6682692307692308,0.6102855477855478,0.2539195737752359,0.7106719423124233,0.5301204819277109,0.7168674698795181,0.5625443060569639,0.11081755711440731,0.36208394571577474,0.8205092654003746
quarterly.order_joint.platt,2023,242,128,0.5289256198347108,0.5139949109414759,0.4981087958187195,0.25611474327741085,0.7065181016991144,0.45867768595041325,0.3181818181818182,0.4639442615974757,0.08672544582942077,0.2624216063924435,0.7586560046431511
quarterly.order_joint.platt,2024,242,116,0.4793388429752066,0.478551912568306,0.489344262295082,0.26118854207836245,0.7172637606429667,0.49586776859504134,0.4049586776859504,0.49882530051764185,0.09916295726979062,0.2451625460168597,0.7411333977611917
quarterly.order_joint.platt,2025,243,128,0.5267489711934157,0.48827476480354176,0.5074017708909795,0.2536252244442657,0.7009045485142398,0.5720164609053497,0.7654320987654321,0.5203477988276535,0.0821996569922592,0.17550180588173006,0.7061554641956646
quarterly.order_joint.platt,2026,166,113,0.6807228915662651,0.6682692307692308,0.6102855477855478,0.2539195737752359,0.7106719423124233,0.5301204819277109,0.7168674698795181,0.5625443060569639,0.11081755711440731,0.36208394571577474,0.8205092654003746
quarterly.order_joint.shrink,2023,242,128,0.5289256198347108,0.5139949109414759,0.4981087958187195,0.25611474327741085,0.7065181016991144,0.45867768595041325,0.3181818181818182,0.4639442615974757,0.08672544582942077,0.2624216063924435,0.7586560046431511
quarterly.order_joint.shrink,2024,242,123,0.5082644628099173,0.5068306010928961,0.4834699453551913,0.25892730676896547,0.7127162913188935,0.49586776859504134,0.32644628099173556,0.4916020262456362,0.09268911214087397,0.2451625460168597,0.7411333977611917
quarterly.order_joint.shrink,2025,243,128,0.5267489711934157,0.4870641947980078,0.4678334255672385,0.2574915879273997,0.7087615873296088,0.5720164609053497,0.7736625514403292,0.5065847040680993,0.07503513749405832,0.17550180588173006,0.7061554641956646
quarterly.order_joint.shrink,2026,166,113,0.6807228915662651,0.6682692307692308,0.6102855477855478,0.2539195737752359,0.7106719423124233,0.5301204819277109,0.7168674698795181,0.5625443060569639,0.11081755711440731,0.36208394571577474,0.8205092654003746
quarterly.order_fixed.raw,2023,242,126,0.5206611570247934,0.5049859019324668,0.4965270614125576,0.25619468440837584,0.706670233120714,0.45867768595041325,0.30991735537190085,0.46368772355291593,0.08616794867841046,0.26337366008295926,0.7588462587915265
quarterly.order_fixed.raw,2024,242,116,0.4793388429752066,0.4795765027322404,0.5043032786885245,0.26252316702801176,0.7200207534087293,0.49586776859504134,0.5289256198347108,0.5101945233582027,0.1103510616472734,0.24567749959844906,0.7405570305375454
quarterly.order_fixed.raw,2025,243,98,0.40329218106995884,0.4263627559490869,0.41650525733259547,0.2782899618065871,0.7517405476511868,0.5720164609053497,0.3292181069958848,0.4558088616330185,0.09229650491151636,0.17729760710533826,0.7060123072748207
