cutoff,grouping,period,rows,sample_share,mean_loss_share,fitted_loss_share,fitted_auxiliary_loss_share,mean_return,return_sd,fitted_mse,fitted_ensemble_mse
2018-12-31,index_block,1,384,0.19989588755856325,0.2103702502873228,0.2082473637652461,0.1995503540641534,-0.00041032525649574696,0.030422161057966437,0.0008051998766101257,0.0007767745599040436
2018-12-31,index_block,2,384,0.19989588755856325,0.2460072988744891,0.23985749718317953,0.22395335666131766,0.008433901450713257,0.032125011650637206,0.0009274221946628131,0.0008958420512539537
2018-12-31,index_block,3,384,0.19989588755856325,0.16998517458539258,0.17190806731645608,0.1870534458433144,-0.0003005511724994847,0.02734412787152153,0.0006646919897988945,0.0006295759407603083
2018-12-31,index_block,4,384,0.19989588755856325,0.14542158966014496,0.15413569877471225,0.16316429075399067,-0.0015925518815660537,0.025178256351667504,0.0005959741501194755,0.0005597962553862833
2019-12-31,year,2010,113,0.052193995381062355,0.08627066046684376,0.08613559493754999,0.07678701759172535,0.006305594806622824,0.03764632697027564,0.001288237753375775,0.0012429323873860661
2019-12-31,year,2011,244,0.11270207852193996,0.10866396010336496,0.10864498062746544,0.10865957038658412,-0.0057620099162216,0.027979715571685056,0.0007525089139046206,0.0007328370836198348
2019-12-31,year,2012,243,0.11224018475750577,0.09704615589263281,0.1014899117358726,0.09918963505403897,0.002014422590285939,0.02742718524759224,0.0007058434833886246,0.0006784072568512105
2019-12-31,year,2013,238,0.10993071593533488,0.12475139146829894,0.12911196830752358,0.11778553815980042,-0.0018482816269202256,0.031219384683022298,0.0009168142464474821,0.00088487850639008
2019-12-31,year,2014,245,0.11316397228637413,0.1328971745996427,0.12237317374870672,0.11592562458951608,0.00996529634962806,0.030886530714989813,0.0008441350776121365,0.0008209094467173025
2019-12-31,year,2015,113,0.052193995381062355,0.11594943715804422,0.11284486859716798,0.10383422829960483,0.006989657619375303,0.043649584869582626,0.0016876997263093974,0.0016624138087024734
2019-12-31,year,2016,244,0.11270207852193996,0.09473498325547342,0.09748310234061826,0.11108085497013521,8.524799772013811e-05,0.026994664514631957,0.000675198274625556,0.0006507038184521019
2019-12-31,year,2017,244,0.11270207852193996,0.024301861319720054,0.03164845809208332,0.04151064627553114,0.004335128084728082,0.013446935623272649,0.0002192070603546033,0.0001944851501435102
2019-12-31,year,2018,243,0.11224018475750577,0.11576715411295728,0.11822173267994691,0.11828004980588465,-0.006022991700023926,0.028937972179956282,0.0008222101899568183,0.0008026004182573992
2019-12-31,year,2019,238,0.10993071593533488,0.09961722162302183,0.09204620893306532,0.10694683486717922,0.006453161823208025,0.02767941356162153,0.000653613114163935,0.0006262470571756493
2019-12-31,quarter,2010Q3,52,0.02401847575057737,0.03716148661201229,0.03538212971017647,0.0274949663760622,0.013115756289552376,0.03487903472458859,0.0011499327291018566,0.0011326947470114773
2019-12-31,quarter,2010Q4,61,0.02817551963048499,0.04910917385483148,0.05075346522737353,0.04929205121566315,0.0005002112474041898,0.03892422663030598,0.001406137118330591,0.0013369054578693223
2019-12-31,quarter,2011Q1,58,0.02678983833718245,0.023873408805995706,0.02462732399815826,0.02313967481502523,0.004544989910882386,0.02770298484431519,0.0007175977011256582,0.0006942658572992893
2019-12-31,quarter,2011Q2,61,0.02817551963048499,0.019340565114031073,0.020267444279486173,0.020378015548121128,-0.004862434724661683,0.023534277501035535,0.0005615144811769794,0.0005327007467428853
2019-12-31,quarter,2011Q3,65,0.03002309468822171,0.031226194987652955,0.032235447921707724,0.031920256964071164,-0.01259463527935694,0.02645540795304626,0.0008381314953298271,0.0008274771376678957
2019-12-31,quarter,2011Q4,60,0.02771362586605081,0.03422379119568522,0.031514764428113275,0.03322162305936659,-0.009238000383778089,0.03089168103764465,0.0008876762963200793,0.0008710678196691946
2019-12-31,quarter,2012Q1,58,0.02678983833718245,0.02092531819845679,0.018762672039598374,0.028457862464937655,0.006512604856358185,0.02562695222707476,0.0005467118686381582,0.000513061253738073
2019-12-31,quarter,2012Q2,59,0.02725173210161663,0.015894026707526245,0.02211484403631964,0.018182046254948483,-0.0014358845886548763,0.02230424237373707,0.0006334665361175351,0.0005931064204860457
2019-12-31,quarter,2012Q3,65,0.03002309468822171,0.02880490066783708,0.029695915280391113,0.022844143113339696,-0.004446999650953107,0.028225907882191335,0.0007721028707152373,0.0007599494285115523
2019-12-31,quarter,2012Q4,61,0.02817551963048499,0.03142191031881268,0.030916480379563478,0.029705583220813125,0.007959766816611447,0.03052093255436784,0.0008565486205737316,0.0008312363776411199
2019-12-31,quarter,2013Q1,56,0.025866050808314087,0.02994840981980506,0.029594074653106324,0.02767009026135523,-0.0014055427026336623,0.03158543720556282,0.0008931173913175709,0.0008631481571271313
2019-12-31,quarter,2013Q2,57,0.026327944572748268,0.04572485892254967,0.04277266810204502,0.037418502084452465,-0.009227507908687552,0.03729856400175236,0.001268186992536344,0.0012481100944196429
2019-12-31,quarter,2013Q3,64,0.02956120092378753,0.02914883972711968,0.03239439891182747,0.031938181887473,0.008799594200155964,0.028424624309429755,0.0008554246488526673,0.0008157888029315206
2019-12-31,quarter,2013Q4,61,0.02817551963048499,0.019929282998824533,0.02435082664054479,0.020758763926519725,-0.0065309297356445865,0.023393829454200855,0.0006746455842553191,0.0006379021139702084
2019-12-31,quarter,2014Q1,58,0.02678983833718245,0.02078711706866449,0.023524277780642564,0.021241721249937482,-0.002334353654553435,0.025664451560652234,0.0006854568388060732,0.0006613084259360642
2019-12-31,quarter,2014Q2,61,0.02817551963048499,0.010651529668255512,0.01426668152194069,0.01284514686590717,-0.00048227158546752607,0.01800175148215457,0.00039526188711509416,0.0003703271337912919
2019-12-31,quarter,2014Q3,65,0.03002309468822171,0.018230126664417715,0.017771677293103753,0.019533312024340745,0.009834217022282456,0.02150837034612869,0.0004620690396598372,0.00043765804609823493
2019-12-31,quarter,2014Q4,61,0.02817551963048499,0.08322840119830498,0.0668105371530197,0.06230544444933067,0.03224728816210056,0.04048175813142953,0.0018510022077428037,0.0018316261898982515
2019-12-31,quarter,2015Q1,48,0.022170900692840646,0.04196255477343251,0.039514780887890906,0.041781380138080124,0.010141745287491314,0.0396995710222688,0.0013912659266608707,0.001348085508457638
2019-12-31,quarter,2015Q3,4,0.0018475750577367205,0.006225249121376078,0.0057369030569801235,0.007312241693938929,0.051559637316583876,0.021177485917510105,0.002423870025865366,0.0023902410262113937
2019-12-31,quarter,2015Q4,61,0.02817551963048499,0.06776163326323564,0.06759318465229698,0.05474060646758578,0.001586704720057226,0.04574504699311228,0.001872685647373421,0.0018620277356158571
2019-12-31,quarter,2016Q1,59,0.02725173210161663,0.0588245558773132,0.06157270218614418,0.058368557025423026,-0.003508578883228999,0.04302097721064115,0.0017637133822511204,0.0017434188329285584
2019-12-31,quarter,2016Q2,61,0.02817551963048499,0.015364894828356918,0.014203560542698978,0.01873991366626783,-0.0008159721083841154,0.02163415206991281,0.0003935131050081086,0.00037165613689443214
2019-12-31,quarter,2016Q3,64,0.02956120092378753,0.01131367686175172,0.012599199980951782,0.017788050543753837,0.0028701981135584205,0.018212800694349454,0.0003327015342641592,0.00030641786809578646
2019-12-31,quarter,2016Q4,60,0.02771362586605081,0.009231855688051571,0.009107639630823323,0.016184333734690515,0.0015648047482986114,0.017024263430093965,0.000256534864290313,0.00022713754418062063
2019-12-31,quarter,2017Q1,59,0.02725173210161663,0.0033074663988605204,0.005546670810872038,0.008327013602137707,0.003894120761941555,0.010045234948949286,0.00015888108185510355,0.0001333036396214833
2019-12-31,quarter,2017Q2,60,0.02771362586605081,0.007723764094353436,0.006798037803164308,0.00975641551545743,0.0031459566546339565,0.015507680585728642,0.0001914803149844789,0.00017017132847549308
2019-12-31,quarter,2017Q3,65,0.03002309468822171,0.004434781317374507,0.007989415185613056,0.009797364047339201,0.005384726684243806,0.010730651915164854,0.00020772723594820637,0.00018487221911894859
2019-12-31,quarter,2017Q4,60,0.02771362586605081,0.008835849509131587,0.011314334292433913,0.013629853110596803,0.0048208915660869255,0.016365958317585333,0.000318690827689499,0.0002893747991014623
2019-12-31,quarter,2018Q1,59,0.02725173210161663,0.032549699548422045,0.03212384361656276,0.03385047874251567,-0.004898857583416326,0.031549690201329764,0.0009201683678684425,0.0008889682937445308
2019-12-31,quarter,2018Q2,60,0.02771362586605081,0.022374384039435077,0.02129807262472681,0.01927753170808645,-0.010978089054803564,0.0232609978895981,0.0005999027620656536,0.0005848060888826435
