head_cutoff,encoder_cutoff,seed,group,parameter,dimensions,old_norm,new_norm,delta_norm,maximum_absolute_change,maximum_abs_log_ratio
2021-12-31,2021-12-31,20260910,rep,mean,25,2.695506687670332,2.695506687670332,0.0,0.0,
2021-12-31,2021-12-31,20260910,rep,sd,25,2.696220678435345,2.696220678435345,0.0,0.0,0.0
2021-12-31,2021-12-31,20260910,market,lower,4,1.6656101670902737,1.6656101670902737,0.0,0.0,
2021-12-31,2021-12-31,20260910,market,upper,4,2.842838851152592,2.842838851152592,0.0,0.0,
2021-12-31,2021-12-31,20260910,market,mean,4,0.31609000182030417,0.31609000182030417,0.0,0.0,
2021-12-31,2021-12-31,20260910,market,sd,4,1.0006438062121652,1.0006438062121652,0.0,0.0,0.0
2021-12-31,2021-12-31,20260910,vol,ray,25,0.5817814757656458,0.5817814757656458,0.0,0.0,
2021-12-31,2021-12-31,20260910,vol,projection,30,2.4241722478353154,2.4241722478353154,0.0,0.0,
2021-12-31,2021-12-31,20260910,vol,residual_mean,1,4.63524988646143e-16,4.63524988646143e-16,0.0,0.0,
2021-12-31,2021-12-31,20260910,vol,residual_sd,1,0.3748641130343809,0.3748641130343809,0.0,0.0,0.0
2021-12-31,2021-12-31,20260910,order,ray,25,0.5817814757656458,0.5817814757656458,0.0,0.0,
2021-12-31,2021-12-31,20260910,order,projection,31,0.40251187575518027,0.40251187575518027,0.0,0.0,
2021-12-31,2021-12-31,20260910,order,residual_mean,1,3.190401425016965e-17,3.190401425016965e-17,0.0,0.0,
2021-12-31,2021-12-31,20260910,order,residual_sd,1,0.04404247266598255,0.04404247266598255,0.0,0.0,0.0
2021-12-31,2021-12-31,20260911,rep,lower,25,8.97924127850898,8.97924127850898,0.0,0.0,
2021-12-31,2021-12-31,20260911,rep,upper,25,3.99803830704536,3.99803830704536,0.0,0.0,
2021-12-31,2021-12-31,20260911,rep,mean,25,2.3794155221515934,2.3794155221515934,0.0,0.0,
2021-12-31,2021-12-31,20260911,rep,sd,25,4.198708164045132,4.198708164045132,0.0,0.0,0.0
2021-12-31,2021-12-31,20260911,market,lower,4,1.6656101670902737,1.6656101670902737,0.0,0.0,
2021-12-31,2021-12-31,20260911,market,upper,4,2.842838851152592,2.842838851152592,0.0,0.0,
2021-12-31,2021-12-31,20260911,market,mean,4,0.31609000182030417,0.31609000182030417,0.0,0.0,
2021-12-31,2021-12-31,20260911,market,sd,4,1.0006438062121652,1.0006438062121652,0.0,0.0,0.0
2021-12-31,2021-12-31,20260911,vol,ray,25,0.6780926678622197,0.6780926678622197,0.0,0.0,
2021-12-31,2021-12-31,20260911,vol,projection,30,3.490063600595831,3.490063600595831,0.0,0.0,
2021-12-31,2021-12-31,20260911,vol,residual_mean,1,5.104642280027144e-16,5.104642280027144e-16,0.0,0.0,
2021-12-31,2021-12-31,20260911,vol,residual_sd,1,0.454256139919461,0.454256139919461,0.0,0.0,0.0
