job,method,cutoff,seed,feature,feature_name,coefficient,validation_standardized_mean,validation_standardized_sd,mean_logit_contribution,outside_training_range_fraction
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,10,decoded_10,0.014810000860575457,0.15134003055153664,1.0465643353019858,0.0022413459827077733,0.021739130434782608
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,11,decoded_11,0.02146664698885861,-0.20914811258718605,0.9843781302798994,-0.0044897087012951776,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,12,decoded_12,-0.037827199360917156,0.4110285746100944,0.8142645385883778,-0.015548059834809653,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,13,decoded_13,0.034653765835301276,-0.10309885807267995,0.7549061300674453,-0.0035727636855376124,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,14,decoded_14,0.14801686339093212,-0.049474017552457485,1.023398302730546,-0.0073229888974626865,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,15,decoded_15,-0.15204131176361935,0.17735956717338847,1.0435672199255166,-0.026965981246869747,0.021739130434782608
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,16,decoded_16,0.02228292280796286,-0.22725882005489464,0.9420921365838482,-0.0050639907447119405,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,17,decoded_17,0.04496533065267749,0.3642206452599922,0.8584598755422514,0.0163773017446471,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,18,decoded_18,0.013197257517644483,-0.05229685767890959,0.8193490828334835,-0.000690175098152173,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,19,decoded_19,-0.0374846669669268,-0.06853027698253608,1.0247207159469112,0.0025688346098416146,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,20,decoded_20,-0.014103319215281148,0.18073959122199876,1.0670127281734896,-0.0025490281498432746,0.021739130434782608
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,21,decoded_21,-0.34117722444862103,-0.25750426756187755,0.9862213009108595,0.08785459129043645,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,22,decoded_22,-0.24931242791763655,0.4745965594418041,0.9008442913699879,-0.1183228205157931,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,23,decoded_23,-0.04953243805618682,-0.16248770330310472,0.8850189422808459,0.008048412098753097,0.0
learned_2018-12-31_20260910,learned_probe,2018-12-31,20260910,24,decoded_24,0.2158649404036205,-0.05009727328482675,1.0178547302044532,-0.010814244912013016,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,0,decoded_0,0.07674181010746563,-0.670289573155436,1.0050364526659668,-0.05143923514010866,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,1,decoded_1,0.11054996694100346,-0.1460526457562736,1.1035270034773275,-0.01614611516000214,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,2,decoded_2,-0.08300237782335923,0.12280547064096728,0.9739068472459818,-0.01019314607291701,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,3,decoded_3,0.047370893763514034,-0.07625875470152806,0.9442259257709225,-0.0036124453675039614,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,4,decoded_4,0.042369772216172996,0.15483906902699085,1.0336107930448233,0.00656049608483789,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,5,decoded_5,0.035824778149455935,-0.6864419568298223,0.9971771504753373,-0.024591630815906793,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,6,decoded_6,-0.0386955455018604,-0.20621491103949605,1.1013488899525312,0.007979598473290916,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,7,decoded_7,-0.005300721246021542,0.07327629133735063,0.9814705095068345,-0.0003884171943215589,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,8,decoded_8,-0.02586454738991724,-0.11674768184542728,0.9287018345001681,0.0030196259497540334,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,9,decoded_9,0.07379594779238727,0.17315247697184427,1.0218672799103763,0.012777951150736756,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,10,decoded_10,-0.09144805063123779,-0.7184996400681571,1.030732482317159,0.06570539146347897,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,11,decoded_11,-0.03356700560783008,-0.24006423587913317,1.0951756434698348,0.008058237551994306,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,12,decoded_12,0.01029268730652398,0.055461654838260925,0.9797770726635124,0.0005708494707525823,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,13,decoded_13,-0.062123111386897675,-0.13389326085816916,0.9284495188550967,0.008317865958246986,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,14,decoded_14,0.06651175094971745,0.2058895159244816,1.0107054327652392,0.013694072206327018,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,15,decoded_15,0.0899217666939523,-0.6611994839306597,0.9341680410501899,-0.059456225732174454,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,16,decoded_16,0.017313748512367524,-0.15567722905746928,1.0797264890566443,-0.0026953563930032566,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,17,decoded_17,0.03794923913508826,0.026193119815713994,0.9577509846448923,0.0009940089675805487,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,18,decoded_18,-0.18983449428812924,-0.1551035522173525,0.8971819295282453,0.029444004397473557,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,19,decoded_19,-0.11431989136880578,0.18407994439274558,1.0546900224827562,-0.021043999246154493,0.021739130434782608
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,20,decoded_20,0.10131836931508148,-0.6823404710637159,1.0345441110224702,-0.0691336238458602,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,21,decoded_21,0.18848785035709156,-0.14166498344160913,1.0956971633362582,-0.02670212819978187,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,22,decoded_22,-0.1213978562578113,0.12145994014480914,0.9809853355331061,-0.014744976354781903,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,23,decoded_23,-0.05406416881379767,-0.0997851238532232,0.9216470669863575,0.005394799781106368,0.0
learned_2018-12-31_20260911,learned_probe,2018-12-31,20260911,24,decoded_24,0.21721317541253155,0.14714986279265516,1.0177122271888954,0.03196288895871095,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,0,decoded_0,-0.18498705877693095,-0.1565532625747352,1.0617892850507193,0.02896032758563286,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,1,decoded_1,0.09061005287863245,0.27773455595522345,1.3049250738137106,0.0251655428013263,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,2,decoded_2,-0.0444117684494862,0.14537794603192727,1.141045376920511,-0.006456491676831855,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,3,decoded_3,-0.0638405039149603,0.026090517017674647,1.117902676268793,-0.001665631753810194,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,4,decoded_4,0.1951459265292295,-0.03523751453546085,0.9841816073909541,-0.0068764574226097,0.021739130434782608
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,5,decoded_5,-0.039324059220818115,-0.004335357520693854,1.2938299653582028,0.00017048385588718431,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,6,decoded_6,0.03730043223661256,-0.34774138965664536,1.2317307042781727,-0.012970904140753184,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,7,decoded_7,-0.012529886440191568,-0.11655738878034069,1.1168446153236027,0.001460450845182928,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,8,decoded_8,0.11621414108190968,0.25656476764121755,1.2087545719756525,0.029816454103303844,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,9,decoded_9,0.012392007597300355,-0.09029120762650758,1.0289791444302319,-0.0011188893308771057,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,10,decoded_10,-0.07655485788388448,0.13958042912512794,0.9631267190997835,-0.010685559915045776,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,11,decoded_11,0.259986261419584,-0.24192399348663468,0.789557017151696,-0.06289691461428593,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,12,decoded_12,-0.07972051154885867,-0.19475406419493382,1.0331488256821966,0.015525893623839385,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,13,decoded_13,-0.16594878112576558,0.05683435120373403,1.0807083886291358,-0.009431591308333348,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,14,decoded_14,-0.07744798569561617,-0.011916867751628233,0.8234101375806435,0.0009229374031646496,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,15,decoded_15,-0.3197150499563782,-0.09285293003963845,1.0744500042234502,0.029686479166219092,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,16,decoded_16,0.1106542928042482,0.32677349715966764,1.3190621294898262,0.03615889023537403,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,17,decoded_17,0.21311527003776612,0.23151566591322867,1.1622374201682184,0.049339523659070975,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,18,decoded_18,-0.0614893617033724,0.017070493644849923,1.1104179119528654,-0.0010496537581832974,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,19,decoded_19,0.16916096562188315,-0.061786854208161525,0.9700607689870615,-0.01045192392059111,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,20,decoded_20,-0.050676093521460075,0.1732819726561056,1.0266797124837441,-0.008781253451903892,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,21,decoded_21,0.025807444529639754,-0.24050877923600633,1.2912412431255527,-0.006206916979024608,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,22,decoded_22,0.12195719197158483,-0.08630763061068655,1.1311805718561185,-0.010525836275000129,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,23,decoded_23,-0.134125147963916,0.04369104420907068,1.134782886724749,-0.005860067769239612,0.0
learned_2018-12-31_20260912,learned_probe,2018-12-31,20260912,24,decoded_24,0.13142901059476955,0.036493820692965494,0.9399858737768263,0.004796346746499386,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,0,decoded_0,0.0034593039568281245,-0.2982788678257024,0.8948288575514488,-0.0010318372677076658,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,1,decoded_1,0.23237239206218363,-0.22988000859824126,0.907135200186504,-0.05341776748524866,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,2,decoded_2,0.043212796224821645,-0.6636793029393797,1.3279531510733045,-0.02867943847655109,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,3,decoded_3,-0.0031991554687787207,0.03862385572401224,0.9378288004911344,-0.00012356371926479416,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,4,decoded_4,0.0540423849474722,0.30871351435549327,1.0003343196071672,0.016683614581286553,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,5,decoded_5,-0.09828577882370251,-0.2930784678631943,0.8835671365440566,0.028805445470391516,0.021739130434782608
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,6,decoded_6,0.022064298646128605,-0.24857033037717566,0.889954955304002,-0.005484530004008858,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,7,decoded_7,0.09519280896365209,-0.6455656020640905,1.3444056227619812,-0.06145320303079203,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,8,decoded_8,0.1421001354067071,0.05132914242232312,0.9615526263489864,0.007293878088522274,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,9,decoded_9,0.13370521702698707,0.30653438114649556,0.9908635282722437,0.040985245957425344,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,10,decoded_10,-0.09341209085242902,-0.28992005378812374,0.8922105192853361,0.027082038404397324,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,11,decoded_11,0.15601795915380234,-0.20871855028128847,0.9310715706403471,-0.0325638422524269,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,12,decoded_12,-0.04446794295755898,-0.6301578841826961,1.3427462347584807,0.028021824848092194,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,13,decoded_13,0.04899336255079074,0.06275008965255592,0.9339315423252019,0.0030743378924422944,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,14,decoded_14,0.08824367710433785,0.3151951708553517,0.9801416447962619,0.027813980881806255,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,15,decoded_15,0.004919660057646023,0.1948748359915593,0.8196248542095971,0.0009587179468679938,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,16,decoded_16,-0.007749209440924774,0.174570469678953,0.8934946489289612,-0.001352783131742815,0.0
learned_2019-12-31_20260910,learned_probe,2019-12-31,20260910,17,decoded_17,-0.04242167825268843,0.6467499324304162,1.2391475587286522,-0.0274362175435111,0.0
