period,state,arm,history,method,seed,supported,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_order_extension,20260911,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.25,0.33254028703359567,0.8970283311907454,0.4812580567716231,0.19379207199693466,0.2812580567716231,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_order_extension,20260912,False,5,0.4,0.6,2,0.25,0.4,0.2,0,2,2,1,0.0,0.28678499865557383,0.7703631303168272,0.4604248142654905,0.07640081632732937,0.26042481426549047,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_order_offset,20260910,False,5,0.2,0.8,1,0.5,1.0,0.2,1,0,4,0,0.0,0.28628037802750705,0.7666825368349773,0.5338448592306535,0.041334045440025786,0.3338448592306535,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_order_offset,20260911,False,5,0.6,0.4,3,0.375,0.2,0.2,0,3,1,1,0.25,0.33290467435389137,0.8969801354718978,0.4829290032795816,0.19223247177743685,0.2829290032795816,0.0
year_2022,nonnegative_high,remove,fixed_transform_remove_only,learned_order_offset,20260912,False,5,0.4,0.6,2,0.25,0.4,0.2,0,2,2,1,0.0,0.2865203945925752,0.7698599790460696,0.4599095490790246,0.0764712763468524,0.2599095490790246,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_market,20260910,False,5,0.0,1.0,0,0.0,0.8,0.2,0,0,4,1,0.0,0.29560648249613963,0.7847610726149832,0.5294133797673294,0.03759641262923836,0.3294133797673294,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_market,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.31621352869466807,0.8309994019635057,0.48813339881634643,0.12777450300633256,0.2881333988163464,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_market,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.29571473646403584,0.7867349870790804,0.482743373827285,0.06693386211123348,0.282743373827285,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_vol_interaction,20260910,False,5,0.0,1.0,0,0.0,0.8,0.2,0,0,4,1,0.0,0.29496554351028603,0.783478357493814,0.5287980714871766,0.037753331977552484,0.3287980714871766,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_vol_interaction,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.25,0.3169893478704289,0.8324296612518207,0.49212850076789916,0.12605501023517982,0.29212850076789915,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_vol_interaction,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.3018447940938181,0.7995854521664283,0.4837278720117452,0.07218737679880223,0.2837278720117452,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_order_extension,20260910,False,5,0.0,1.0,0,0.0,0.8,0.2,0,0,4,1,0.0,0.2862724042988241,0.7658642836939185,0.524244458648747,0.028414352934211354,0.324244458648747,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_order_extension,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.34191942833143507,0.9001252287585588,0.49855513144713637,0.1645944755002263,0.29855513144713636,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_order_extension,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.30107416633908973,0.7960012819926261,0.514294335856908,0.05615856108841656,0.31429433585690797,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_order_offset,20260910,False,5,0.0,1.0,0,0.0,0.8,0.2,0,0,4,1,0.0,0.2849071536282679,0.763139290301176,0.5224736114893538,0.029664659301488278,0.3224736114893538,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_order_offset,20260911,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.34154435019527984,0.899191256247318,0.49868013888165424,0.16413647641020968,0.29868013888165423,0.0
year_2022,nonnegative_high,both,fixed_transform_step100,learned_order_offset,20260912,False,5,0.2,0.8,1,0.125,0.6,0.2,0,1,3,1,0.0,0.30238888691119264,0.7986823151778165,0.5151542792626237,0.05767902577136112,0.3151542792626237,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_market,20260910,True,30,0.4666666666666667,0.5333333333333333,14,0.45,0.4666666666666667,0.3333333333333333,4,10,10,6,0.47,0.26778848302231434,0.7294791925363172,0.4869919542513317,0.12616358483596427,0.15365862091799837,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_market,20260911,True,30,0.4,0.6,12,0.325,0.3333333333333333,0.3333333333333333,1,11,9,9,0.37,0.27533379595084995,0.7465426549091051,0.4887987807853099,0.10834774672894956,0.1554654474519766,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_market,20260912,True,30,0.5,0.5,15,0.42500000000000004,0.3,0.3333333333333333,2,13,7,8,0.52,0.2602585329923094,0.7202736010121664,0.4456728283973772,0.15214428460588475,0.11233949506404389,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_vol_interaction,20260910,True,30,0.4666666666666667,0.5333333333333333,14,0.45,0.4666666666666667,0.3333333333333333,4,10,10,6,0.465,0.27419060554836744,0.7434292729322413,0.48914164727005577,0.1388995176526663,0.15580831393672245,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_vol_interaction,20260911,True,30,0.43333333333333335,0.5666666666666667,13,0.42500000000000004,0.5,0.3333333333333333,4,9,11,6,0.395,0.26949387221589904,0.733452057784156,0.5011504971430379,0.08958954750834261,0.16781716380970463,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_vol_interaction,20260912,True,30,0.5,0.5,15,0.42500000000000004,0.3,0.3333333333333333,2,13,7,8,0.51,0.2643878322566828,0.7305012083805363,0.44193013772559303,0.1627489961854739,0.10859680439225972,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_order_extension,20260910,True,30,0.43333333333333335,0.5666666666666667,13,0.42500000000000004,0.5,0.3333333333333333,4,9,11,6,0.465,0.26644264128174083,0.7266730128526627,0.4930619863970866,0.120360111373398,0.15972865306375328,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_order_extension,20260911,True,30,0.4666666666666667,0.5333333333333333,14,0.45,0.4666666666666667,0.3333333333333333,4,10,10,6,0.4,0.2689531660158082,0.7322473900360557,0.5013901377596363,0.08857367163374925,0.16805680442630294,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_order_extension,20260912,True,30,0.5333333333333333,0.4666666666666667,16,0.44999999999999996,0.26666666666666666,0.3333333333333333,2,14,6,8,0.515,0.24534206675368944,0.6843454204873943,0.44805834681753154,0.12387783771045245,0.11472501348419822,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_order_offset,20260910,True,30,0.43333333333333335,0.5666666666666667,13,0.42500000000000004,0.5,0.3333333333333333,4,9,11,6,0.46,0.26656736873781867,0.7269424860859985,0.4935099896747185,0.1200161078746308,0.16017665634138517,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_order_offset,20260911,True,30,0.4666666666666667,0.5333333333333333,14,0.45,0.4666666666666667,0.3333333333333333,4,10,10,6,0.4,0.2689430350181456,0.7322275296070582,0.5013248193219606,0.08859731186042712,0.1679914859886273,0.0
year_2023,negative_low,annual,rolling5_annual20,learned_order_offset,20260912,True,30,0.5333333333333333,0.4666666666666667,16,0.44999999999999996,0.26666666666666666,0.3333333333333333,2,14,6,8,0.52,0.2443479913915704,0.682109867536098,0.4501681799245099,0.1207992702160145,0.1168348465911766,0.0
year_2023,negative_low,add,fixed_transform_add_only,learned_market,20260910,True,30,0.43333333333333335,0.5666666666666667,13,0.42500000000000004,0.5,0.3333333333333333,4,9,11,6,0.455,0.26947832411486744,0.7333144657326428,0.5011442865193797,0.10350365059900876,0.16781095318604639,0.0
year_2023,negative_low,add,fixed_transform_add_only,learned_market,20260911,True,30,0.3333333333333333,0.6666666666666666,10,0.30000000000000004,0.4666666666666667,0.3333333333333333,2,8,12,8,0.355,0.27613473417682405,0.7474989696887406,0.4987131046621886,0.08531370933586707,0.16537977132885529,0.0
year_2023,negative_low,add,fixed_transform_add_only,learned_market,20260912,True,30,0.4666666666666667,0.5333333333333333,14,0.4,0.3333333333333333,0.3333333333333333,2,12,8,8,0.53,0.25991660193686833,0.7180774879589137,0.4739919175503637,0.12670084199188933,0.14065858421703037,0.0
year_2023,negative_low,add,fixed_transform_add_only,learned_vol_interaction,20260910,True,30,0.4666666666666667,0.5333333333333333,14,0.45,0.4666666666666667,0.3333333333333333,4,10,10,6,0.475,0.2649678104948834,0.7238025196528325,0.49873853981718613,0.09390284332386699,0.16540520648385282,0.0
year_2023,negative_low,add,fixed_transform_add_only,learned_vol_interaction,20260911,True,30,0.36666666666666664,0.6333333333333333,11,0.4,0.6333333333333333,0.3333333333333333,5,6,14,5,0.385,0.2704191661617364,0.7347775088587037,0.5181699784729107,0.059546605703008494,0.18483664513957737,0.0
year_2023,negative_low,add,fixed_transform_add_only,learned_vol_interaction,20260912,True,30,0.5,0.5,15,0.44999999999999996,0.36666666666666664,0.3333333333333333,3,12,8,7,0.525,0.26041956350125417,0.7192611144526281,0.47498485898810494,0.1251432730823834,0.14165152565477163,0.0
