history,method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
annual_quarter_half,training_frequency,2024,47,0.5531914893617021,0.44680851063829785,26,0.5363636363636364,0.23404255319148937,0.46808510638297873,6,20,5,16,0.5018181818181818,0.2496210622193375,0.6923893043019427,0.49464239519098824,0.0053314347081852296,0.026557288808009505,0.0
annual_quarter_half,training_frequency,2025,48,0.375,0.625,18,0.5,0.0,0.625,0,18,0,30,0.4824074074074074,0.25724117280967623,0.7076438954832884,0.4736837725274045,0.002365669421910245,-0.1513162274725955,0.0
annual_quarter_half,training_frequency,2026,30,0.5333333333333333,0.4666666666666667,16,0.5,0.0,0.4666666666666667,0,16,0,14,0.23660714285714285,0.24976979105104172,0.6926877734297935,0.4808097983688058,0.002567230655502407,0.0141431317021391,0.0
error16,learned_market,2021,50,0.58,0.42,29,0.5950080515297906,0.68,0.46,18,11,16,5,0.5442834138486312,0.26094551746765576,0.7188216392580923,0.5608790060522634,0.11499022931948351,0.10087900605226335,0.0
error16,learned_market,2022,49,0.3469387755102041,0.6530612244897959,17,0.3939655172413793,0.7755102040816326,0.40816326530612246,13,4,25,7,0.39827586206896554,0.2893514436379688,0.7744625757516681,0.5659845845265918,0.0855718521630285,0.15782131922046938,0.0
error16,learned_market,2023,48,0.4166666666666667,0.5833333333333334,20,0.426497277676951,0.5625,0.3958333333333333,9,11,18,10,0.41379310344827586,0.27209285195106864,0.7386932108927144,0.5024614516287248,0.08956084983002509,0.10662811829539148,0.0
error16,learned_market,2024,47,0.723404255319149,0.2765957446808511,34,0.7181818181818183,0.40425531914893614,0.46808510638297873,14,20,5,8,0.76,0.22135338515848307,0.6349445495948645,0.4818550078431504,0.0849589459421309,0.013769901460171652,0.0
error16,learned_market,2025,48,0.4375,0.5625,21,0.4722222222222222,0.3541666666666667,0.625,10,11,7,20,0.5314814814814814,0.2611984685365738,0.7167942219058606,0.46939104845791624,0.08583375678046293,-0.15560895154208376,0.0
error16,learned_market,2026,30,0.4666666666666667,0.5333333333333333,14,0.45535714285714285,0.3333333333333333,0.4666666666666667,4,10,6,10,0.38392857142857145,0.2579418317855127,0.7091856657962172,0.48097098402609273,0.043144354274547055,0.014304317359426055,0.0
error16,learned_order_extension,2021,50,0.58,0.42,29,0.5982286634460547,0.72,0.46,19,10,17,4,0.5555555555555556,0.2647650764059568,0.7291919585921995,0.56577625268787,0.13459033526418915,0.10577625268787,0.0
error16,learned_order_extension,2022,49,0.3877551020408163,0.6122448979591837,19,0.4362068965517241,0.7755102040816326,0.40816326530612246,14,5,24,6,0.4017241379310345,0.28813885915653964,0.7714736914990462,0.5649515498811154,0.09314258706917826,0.15678828457499294,0.0
error16,learned_order_extension,2023,48,0.3958333333333333,0.6041666666666666,19,0.40925589836660614,0.5833333333333334,0.3958333333333333,9,10,19,10,0.4101633393829401,0.27000684313669193,0.7340736352520643,0.5061547625033289,0.08055201408948698,0.1103214291699956,0.0
