arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
baseline,drop_recent,2018-12-31,20260910,1,1537,1921,16,1.126469145940577,,,
baseline,drop_recent,2018-12-31,20260910,2,1537,1921,16,1.0990812259143,,,
baseline,drop_recent,2018-12-31,20260910,3,1537,1921,16,1.0782840735337686,,,
baseline,drop_recent,2018-12-31,20260910,4,1537,1921,16,1.0945407624401535,,,
baseline,drop_recent,2018-12-31,20260910,5,1537,1921,16,1.1065320247054131,,,
baseline,drop_recent,2018-12-31,20260910,6,1537,1921,16,1.07335272769578,,,
baseline,drop_recent,2018-12-31,20260910,7,1537,1921,16,1.0790070457299634,,,
baseline,drop_recent,2018-12-31,20260910,8,1537,1921,16,1.094657653076831,,,
baseline,drop_recent,2018-12-31,20260910,9,1537,1921,16,1.0633832350303456,,,
baseline,drop_recent,2018-12-31,20260910,10,1537,1921,16,1.0605301846445134,0.9552293883838976,1.0485619937318753,0.0008459148197256748
small,drop_recent,2018-12-31,20260910,1,1537,1921,16,1.1283852148622677,,,
small,drop_recent,2018-12-31,20260910,2,1537,1921,16,1.0992692226097027,,,
small,drop_recent,2018-12-31,20260910,3,1537,1921,16,1.0783841855075444,,,
small,drop_recent,2018-12-31,20260910,4,1537,1921,16,1.0952717139463695,,,
small,drop_recent,2018-12-31,20260910,5,1537,1921,16,1.1070857758612946,,,
small,drop_recent,2018-12-31,20260910,6,1537,1921,16,1.076751053368189,,,
small,drop_recent,2018-12-31,20260910,7,1537,1921,16,1.0907282410097394,,,
small,drop_recent,2018-12-31,20260910,8,1537,1921,16,1.1200502859559425,,,
small,drop_recent,2018-12-31,20260910,9,1537,1921,16,1.0957400682753167,,,
small,drop_recent,2018-12-31,20260910,10,1537,1921,16,1.099250787809949,0.9953356051869647,1.0083885486434634,0.0006895956542174607
dropout,drop_recent,2018-12-31,20260910,1,1537,1921,16,1.128862585977131,,,
dropout,drop_recent,2018-12-31,20260910,2,1537,1921,16,1.1006070526936351,,,
dropout,drop_recent,2018-12-31,20260910,3,1537,1921,16,1.0789790129922194,,,
dropout,drop_recent,2018-12-31,20260910,4,1537,1921,16,1.0958469839245935,,,
dropout,drop_recent,2018-12-31,20260910,5,1537,1921,16,1.1076125448074179,,,
dropout,drop_recent,2018-12-31,20260910,6,1537,1921,16,1.0779130156542223,,,
dropout,drop_recent,2018-12-31,20260910,7,1537,1921,16,1.0907651882256026,,,
dropout,drop_recent,2018-12-31,20260910,8,1537,1921,16,1.1155693445399302,,,
dropout,drop_recent,2018-12-31,20260910,9,1537,1921,16,1.0766124323840442,,,
dropout,drop_recent,2018-12-31,20260910,10,1537,1921,16,1.054458393645994,0.9068032087432191,1.0778347967736661,0.0007354869631952186
decay,drop_recent,2018-12-31,20260910,1,1537,1921,16,1.1264533665213483,,,
decay,drop_recent,2018-12-31,20260910,2,1537,1921,16,1.0990514921325993,,,
decay,drop_recent,2018-12-31,20260910,3,1537,1921,16,1.078253006451084,,,
decay,drop_recent,2018-12-31,20260910,4,1537,1921,16,1.094510322794481,,,
decay,drop_recent,2018-12-31,20260910,5,1537,1921,16,1.1065873252804828,,,
decay,drop_recent,2018-12-31,20260910,6,1537,1921,16,1.0741098345699005,,,
decay,drop_recent,2018-12-31,20260910,7,1537,1921,16,1.078689867137063,,,
decay,drop_recent,2018-12-31,20260910,8,1537,1921,16,1.097058362975709,,,
decay,drop_recent,2018-12-31,20260910,9,1537,1921,16,1.0725485558065506,,,
decay,drop_recent,2018-12-31,20260910,10,1537,1921,16,1.0545637758990738,0.9665130384280919,1.0847968317873693,0.0008650468571463321
combined,drop_recent,2018-12-31,20260910,1,1537,1921,16,1.1308820350662858,,,
combined,drop_recent,2018-12-31,20260910,2,1537,1921,16,1.100757759190487,,,
combined,drop_recent,2018-12-31,20260910,3,1537,1921,16,1.0801310036593212,,,
combined,drop_recent,2018-12-31,20260910,4,1537,1921,16,1.0951106952583802,,,
combined,drop_recent,2018-12-31,20260910,5,1537,1921,16,1.1079096565258684,,,
combined,drop_recent,2018-12-31,20260910,6,1537,1921,16,1.0774027794320282,,,
combined,drop_recent,2018-12-31,20260910,7,1537,1921,16,1.0907687256262986,,,
combined,drop_recent,2018-12-31,20260910,8,1537,1921,16,1.118372697869916,,,
combined,drop_recent,2018-12-31,20260910,9,1537,1921,16,1.0910011014238366,,,
combined,drop_recent,2018-12-31,20260910,10,1537,1921,16,1.0834522516636846,0.9632070611122566,1.0247684689838543,0.0006980635193698225
baseline,drop_early,2019-12-31,20260910,1,1732,2165,17,1.1334271884680345,,,
baseline,drop_early,2019-12-31,20260910,2,1732,2165,17,1.0926936530075777,,,
baseline,drop_early,2019-12-31,20260910,3,1732,2165,17,1.0730510177843566,,,
baseline,drop_early,2019-12-31,20260910,4,1732,2165,17,1.1122199532616772,,,
baseline,drop_early,2019-12-31,20260910,5,1732,2165,17,1.1182068752636811,,,
baseline,drop_early,2019-12-31,20260910,6,1732,2165,17,1.0931968551860396,,,
baseline,drop_early,2019-12-31,20260910,7,1732,2165,17,1.1008264844467128,,,
